Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48890486,Breath: The New Science of a Lost Art,James Nestor,"Nestor, James",,"=""0735213615""","=""9780735213616""",4,4.14,Riverhead Books,Hardcover,280,2020,2020,2025/12/08,2025/11/17,,,read,"Breath: The Science of Lost Art mostly talks about the importance of breathwork in our daily lives. The modern lifestyle, although better in many ways, breeds all kind of diseases. I think the core of this issue is our diet. High sugar diets leading to glucose spikes, which are chain reactions to many other negative health conditions. Notably, high blood pressure. While, low-quality and highly processed diets disconfigure your mouth in the long-term. This is one of the worst things to go unnoticed behind our backs, and affects your airway in horrible ways.<br/><br/>Chew hard food more often (preservative-free chewing gum works), increase protein and fat intake more than carbohydrates (prefer natural proteins over whey), reduce glucose-spiking foods (millets>rice). Only after you cross this threshold of good diet, proper breathing techniques may provide meaningful benefits. <br/><br/>Various breathing techniques are discussed in a satisfying depth. There is an Appendix at the end, which does better job at discerning how to use the techniques then the chapters themselves. The book is a good read for surrendering yourself though. It directly quotes the various discussions author had with professors, pulmonologist, heart doctors, breathing experts, etc. Again, the appendix is worth the dime for breathing enthusiasts!",,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,476,2021,2021,2025/12/08,2025/12/08,currently-reading,currently-reading (#1),currently-reading,,,,1,0
144409,From Third World to First: The Singapore Story: 1965-2000,Lee Kuan Yew,"Yew, Lee Kuan",Henry Kissinger,"=""0060197765""","=""9780060197766""",0,4.46,Harper,Hardcover,752,2000,2000,,2025/10/18,to-read,to-read (#19),to-read,,,,0,0
35545851,Real-World Bug Hunting: A Field Guide to Web Hacking,Peter Yaworski,"Yaworski, Peter",,"=""1593278616""","=""9781593278618""",0,4.20,No Starch Press,Paperback,264,2019,,,2025/09/08,to-read,to-read (#18),to-read,,,,0,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",4,4.32,Simon & Schuster,Hardcover,688,2023,2023,2025/09/01,2024/10/01,,,read,"The book is really long but the chapters are small and dandy, so it’s definitely readable. It’s particularly good at covering technicals. Overall, it gives you a better personality study of Elon than any other media out there.",,,1,0
58293283,Mindwandering: How Your Constant Mental Drift Can Improve Your Mood and Boost Your Creativity,Moshe Bar,"Bar, Moshe",,"=""1549166360""","=""9781549166365""",0,3.71,Hachette Go,Audiobook,,2022,,,2025/08/19,to-read,to-read (#17),to-read,,,,0,0
324748,The Dip: A Little Book That Teaches You When to Quit (and When to Stick),Seth Godin,"Godin, Seth",,"=""1591841666""","=""9781591841661""",4,3.78,Portfolio,Hardcover,80,2007,2007,2025/08/05,2025/08/03,business,business (#1),read,"The Dip happens when you feel like quitting, but you shouldn't. Continuing to put effort leads to non-linear results. There are other cases or domains of work where your judgement fails. Putting more effort leads to diminishing returns.<br/><br/>The book is pretty good and of the best short ones I have read. The main point at the end is to figure out when to quit. My best takeaway is stretegic quitting: pre-planning of the potential quitting situations before starting knowledge work rather than emotional (reactionary) quitting due to obstacles.",,,1,0
6033525,The Indifferent Stars Above: The Harrowing Saga of a Donner Party Bride,Daniel James Brown,"Brown, Daniel James",,"=""0061348104""","=""9780061348105""",0,4.25,William Morrow,Hardcover,352,2009,2009,,2025/07/31,to-read,to-read (#16),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0385353308""","=""9780385353304""",0,4.07,Knopf,Hardcover,333,2014,2014,,2025/07/23,to-read,to-read (#15),to-read,,,,0,0
34859084,South of Forgiveness: A True Story of Rape and Responsibility,Thordis Elva,"Elva, Thordis",Tom Stranger,"=""151073001X""","=""9781510730014""",5,4.02,Skyhorse,Hardcover,322,2017,2017,2025/07/22,2025/07/12,,,read,,,,1,0
48595313,A Nation of Idiots,Daksh Tyagi,"Tyagi, Daksh",,"=""8194275016""","=""9788194275015""",0,3.88,Every Protest,Paperback,215,2019,,,2025/07/16,to-read,to-read (#14),to-read,,,,0,0
51710349,The WEIRDest People in the World: How the West Became Psychologically Peculiar and Particularly Prosperous,Joseph Henrich,"Henrich, Joseph",,"=""0374710457""","=""9780374710453""",0,4.13,"Farrar, Straus and Giroux",Kindle Edition,706,2020,2020,,2025/07/16,to-read,to-read (#13),to-read,,,,0,0
10906871,[psi],Eros,"Eros, Eros",,"=""9612691533""","=""9789612691530""",0,4.38,Maribor: Samozaložba,Hardcover,777,2010,2010,,2025/05/30,to-read,to-read (#12),to-read,,,,0,0
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",4,4.17,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,2025/05/26,2025/03/28,,,read,"The book is like a cognitive guide with a bunch of relatable examples. It offers the notion of two brain systems (fast & slow) and expands it into every chapter. The narrative of the book gets more and more saggy at many times in the book, with lines that get you out of focus. However, towards the end of the book, you would likely feel grateful for having read through the detailed insights. The first part of the four parts is a great introduction to the two systems, and one of my favorite parts.<br/><br/>The second part emphasizes how human judgment is more story-driven than fact-based. People tend to prefer coherent narratives over statistical truths, often jumping to conclusions from small or unrepresentative samples. Like reading a book by its cover, the mind often fills in gaps with assumptions, not facts. Many statistics-math concepts like Bayesian thinking, Regression, and Law of Small Numbers are retold into really fresh contexts, making this part pretty interesting.<br/><br/>The third and fourth parts, with a total of sixteen chapters about Overconfidence and Choices, are my favorite ones. The intersection of availability, emotion, and risk. is unpacked. Probability neglect shows how vivid narratives and repeated exposure can inflate public fear and skew decision-making. The “availability cascade,” for example, is not just media hype—it’s how shared misperceptions become institutionalized errors. You noted this sharply, recognizing how System 1 can drive a social snowball of concern. You can kind of observe this all around you if you notice, especially today with a lot of news buzz.<br/><br/>The final (fifth) part about Life is the one I have skimmed through the most. Towards the end, the acuteness of the mind does overshadow the clutter, and is thus worth cutting through the fat of the book. Overall, a great book, and I will deeply reread selected parts from the book.",,"Overall great book, I will deeply reread selected parts from the book.",1,1
528985,She Comes First: The Thinking Man's Guide to Pleasuring a Woman,Ian Kerner,"Kerner, Ian",,"=""0060538252""","=""9780060538255""",0,4.08,William Morrow,Hardcover,228,2004,2004,,2025/05/05,to-read,to-read (#11),to-read,,,,0,0
122851465,MADE IN INDIA: 75 Years of Business and Enterprise,Amitabh Kant,"Kant, Amitabh",,"=""9357020756""","=""9789357020756""",0,3.94,Rupa Publications India,Kindle Edition,212,2023,,,2025/04/26,to-read,to-read (#10),to-read,,,,0,0
42772139,"Stories That Stick: How Storytelling Can Captivate Customers, Influence Audiences, and Transform Your Business",Kindra Hall,"Hall, Kindra",,"=""140021193X""","=""9781400211937""",0,4.22,HarperCollins Leadership,Hardcover,240,2019,2019,,2025/04/26,to-read,to-read (#9),to-read,,,,0,0
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",4,3.95,Penguin Press,Hardcover,480,2014,2014,2025/03/27,2024/08/26,,,read,,,,1,0
1633,Getting Things Done: The Art of Stress-Free Productivity,David    Allen,"Allen, David",,"=""0142000280""","=""9780142000281""",4,4.00,Penguin Books,Paperback,267,2002,2001,2025/02/16,2025/01/16,,,read,,,,1,0
106835,The Intelligent Investor,Benjamin Graham,"Graham, Benjamin","Jason Zweig, Warren Buffett","=""0060555661""","=""9780060555665""",4,4.23,Harper Business,Paperback,623,2006,1949,2024/12/31,2024/12/14,,,read,"The Intelligent Investor makes it pretty clear that it is trying to be a mindset book. It reads like a narration and gets pretty complicated at some points. This is a kind of 'experiential theory' and needs effort in order to extract good ideas for current times. <br/><br/>The theory is actually where the book sometimes shines. The concepts in this book are not any kind of hard science, but, rather, reflects directly from the Benjamin's experiences. The concepts are little spread, a lot of which, at different places on the web. Reading the book is definitely better and direct than reading related articles or blogs online. Following are some of my favorite lines: <br/><br/><blockquote>The intelligent investor realizes that stocks become more risky, not less, as their prices rise—and less risky, not more, as their prices fall. </blockquote><br/><br/><blockquote>Never mingle your speculative and investment operations in the same account, nor in any part of your thinking. </blockquote><br/><br/><blockquote>Our readers must have enough intelligence to recognize that even high-quality stocks cannot be a better purchase than bonds under all conditions—i.e., regardless of how high the stock market may be and how low the current dividend return compared with the rates available on bonds. </blockquote><br/><br/><blockquote>Anyone who panicked in the last bear market is going to panic in the next one—and will regret having no cushion of cash and bonds. </blockquote><br/><br/><blockquote>It is a mere statistical chore to identify companies that have “out-performed the averages” in the past. </blockquote><br/><br/><blockquote>You’ll never be able to boast that you beat the market, because the job of an index fund is to match the market’s return, not to exceed it. </blockquote><br/><br/>I read the revised edition btw, so shoutout to the commentary section at the end of every chapter which is sometimes better than the chapter itself!",,,1,0
222825841,The Sovereign Child: How a Forgotten Philosophy Can Liberate Kids and Their Parents,Aaron Stupple,"Stupple, Aaron",,"=""1544547986""","=""9781544547985""",0,3.37,Conjecture Institute,Kindle Edition,212,2025,2025,,2025/01/13,to-read,to-read (#8),to-read,,,,0,0
42291479,The Extended Mind: The Power of Thinking Outside the Brain,Annie Murphy Paul,"Paul, Annie Murphy",,"=""0544947584""","=""9780544947580""",0,4.03,Mariner Books,Kindle Edition,352,2021,2021,,2025/01/06,to-read,to-read (#7),to-read,,,,0,0
38728977,"The Molecule of More: How a Single Chemical in Your Brain Drives Love, Sex, and Creativity—and Will Determine the Fate of the Human Race",Daniel Z. Lieberman,"Lieberman, Daniel Z.",Michael E. Long,"=""1946885118""","=""9781946885111""",4,4.13,BenBella Books,Hardcover,240,2018,2018,2024/12/13,2024/11/27,,,read,,,,1,0
25673927,Hair: A Human History,Kurt Stenn,"Stenn, Kurt",,"=""160598955X""","=""9781605989556""",3,3.49,Pegasus Books,Hardcover,256,2016,2016,2024/11/26,2024/11/10,,,read,,,,1,0
35488866,"The Dental Diet: The Surprising Link between Your Teeth, Real Food, and Life-Changing Natural Health",Steven Lin,"Lin, Steven",,"=""1401953174""","=""9781401953171""",5,4.17,Hay House Inc.,Hardcover,344,2018,2018,2024/10/24,2024/10/08,research,research (#2),read,"This is a great book about teeth health. It takes a non-standard approach to create strong relations between oral health and other fields of medicine. And a great part of this book talks about how most of our modern diet choices suck. But the best thing I have learned from this book is about the importance of wholesome diet and use of teeth as biomarkers.<br/>It is easier to deep dive into a field like dentistry by exploring connections with other branches. Epigenetics, for example, is the field of how your DNA molecules can be altered by surrounding environment like food we eat. When you get oral cavities, it is a good sign that something bad possibly can occur for you overall health as well. Similarly gut microbiome is a place with a much larger scale of reactions to the oral microbiome. So, you can assume gum health will likely cause pretty bad issues in your digestive tracts. It is interesting to look back to understand how the clear oral-condition signals can be dealt with more respect.",,,1,0
46064083,How We Learn: Why Brains Learn Better Than Any Machine . . . for Now,Stanislas Dehaene,"Dehaene, Stanislas",,"=""0525559884""","=""9780525559887""",5,4.32,Viking,Hardcover,352,2020,2018,2024/04/27,2023/12/07,research,research (#1),read,"Incredible science. At glance, 'How We Learn' seems a narrow topic. But its appeal is much broader. Each Chapter has an interesting list of sub-topics which require close attention. Every notion is related to the working of our brain. It's like trying to catch each thread of a cloth. And if you do it right, you’ll become more sensitive to learning. Begin the book and keep thinking.",,,1,0
10127019,The Lean Startup,Eric Ries,"Ries, Eric",,"=""0307887898""","=""9780307887894""",4,4.11,Best Business,Hardcover,299,2011,2011,2024/09/27,2024/03/30,,,read,,,,1,0
5553,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",Paul C.W. Davies,"=""0465023924""","=""9780465023929""",4,4.20,Basic Books,Paperback,138,1995,1994,2024/08/26,2024/06/07,,,read,,,,1,0
25541028,"Elon Musk: Tesla, SpaceX, and the Quest for a Fantastic Future",Ashlee Vance,"Vance, Ashlee",,"=""0062301233""","=""9780062301239""",4,4.12,Ecco,Hardcover,392,2015,2015,2021/02/19,2021/02/19,,,read,,,,1,0
40545956,Where the Forest Meets the Stars,Glendy Vanderah,"Vanderah, Glendy",,"=""154204006X""","=""9781542040068""",4,4.13,Lake Union Publishing,Hardcover,332,2019,2019,2021/01/07,2021/01/07,,,read,,,,1,0
36448501,The Bitcoin Standard: The Decentralized Alternative to Central Banking,Saifedean Ammous,"Ammous, Saifedean",,"=""1119473861""","=""9781119473862""",4,4.17,Wiley,Hardcover,304,2018,2018,2022/03/13,2022/02/13,,,read,"Abundance of knowledge & quite appropriate for an economics enthusiast (maybe not crypto). Although it is extremely overwritten, the book is worth reading for the author’s insights. The crux of the book, however, could’ve been written much more intriguingly, rather than going a ‘textbook’ way.",,,1,0
65146478,Doglapan: The Hard Truth about Life and Start-Ups,Ashneer Grover,"Grover, Ashneer",,"=""9354928706""","=""9789354928703""",3,3.76,Penguin Classics,Kindle Edition,202,2022,,2024/05/31,2024/05/01,,,read,,,,1,0
27209431,The Inevitable: Understanding the 12 Technological Forces That Will Shape Our Future,Kevin Kelly,"Kelly, Kevin",,"=""""","=""""",3,3.89,Viking,Hardcover,336,2016,2016,2023/12/24,2023/10/16,,,read,"<i><b><blockquote><br/>“I mean inevitable in a different way. There is bias in the nature of technology that tilts it in certain directions and not others. All things being equal, the physics and mathematics that rule the dynamics of technology tend to favor certain behaviors. These tendencies exist primarily in the aggregate forces that shape the general contours of technological forms and do not govern specifics or particular instances.”<br/><br/>“My intent in this book is to uncover the roots of digital change so that we can embrace them. Once seen, we can work with their nature, rather than struggle against it.”<br/><br/>“This is the time when inhabitants of this planet first linked themselves together into one very large thing.”<br/></blockquote></b></i>",,,1,0
9778945,The Shallows: What the Internet Is Doing to Our Brains,Nicholas Carr,"Carr, Nicholas",,"=""0393339750""","=""9780393339758""",5,3.90,W. W. Norton & Company,Paperback,280,2011,2010,2023/06/22,2023/05/19,"favorites, technology","favorites (#1), technology (#2)",read,"<i> We become, neurologically, what we think. </i><br/><br/><i> The findings indicated, as van Nimwegen reported, that those using the unhelpful software were better able to plan ahead and plot strategy, while those using the helpful software tended to rely on simple trial and error. Often, in fact, those with the helpful software were found “to aimlessly click around” as they tried to crack the puzzle. </i><br/><br/><i> That’s the essence of Kubrick’s dark prophecy: as we come to rely on computers to mediate our understanding of the world, it is our own intelligence that flattens into artificial intelligence. </i>",,,1,0
54898389,The Almanack of Naval Ravikant: A Guide to Wealth and Happiness,Eric Jorgenson,"Jorgenson, Eric",,"=""""","=""9781544514208""",5,4.38,Magrathea Publishing,Kindle Edition,244,2020,2020,2024/06/27,2024/06/04,,,read,A book full of insightful statements. Every sentence gives you a smarty-pants vibe. ,,,1,0
294035,Frames Of Mind: The Theory Of Multiple Intelligences,Howard Gardner,"Gardner, Howard",,"=""0465025102""","=""9780465025107""",0,3.95,Basic Books,Paperback,496,1993,1983,,2024/05/12,to-read,to-read (#6),to-read,,,,0,0
56732449,The Love Hypothesis,Ali Hazelwood,"Hazelwood, Ali",,"=""0593336828""","=""9780593336823""",4,4.10,Berkley Books,Paperback,400,2021,2021,2021/11/14,2021/09/17,,,read,"There is some genuine ‘life’ in this book, I could very well feel each and every scene playing out in my mind. All thanks to the debutant author, she did make a mark! This is one of the rom-coms that is actually gripping, which might be due to the fresh Stanford environment & the natural progression of the plot. <br/><br/>I do hope it was more believable at times. Adam's character is quite conventional at most times. Nevertheless, it did keep me engaged throughout, I guess that is what matters  :)<br/><br/><spoiler><br/><br/>Tom's character twist felt too convenient?<br/><br/></spoiler>",,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",4,4.13,Viking Books,Hardcover,307,2021,2021,2023/12/13,2023/09/16,,,read,"<b><i><blockquote><br/>We all make the same kind of mistakes as smokejumpers and firefighters, but the consequences are less dire and therefore often go unnoticed.<br/><br/>A similar pattern emerged in a study of students who graduated at the top of their class. “Valedictorians aren’t likely to be the future’s visionaries,” education researcher Karen Arnold explains. “They typically settle into the system instead of shaking it up.<br/><br/></blockquote></i></b>",,,1,0
3228917,Outliers: The Story of Success,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316017922""","=""9780316017923""",4,4.19,"Little, Brown and Company",Hardcover,309,2008,2008,2023/04/23,2023/04/13,,,read,"<i><blockquote><b> Virtually all of the advantage that wealthy students have over poor students is the result of differences in the way privileged kids learn while they are not in school.</b></blockquote></i><br/><br/>Been quite a while since I read any self-help, but just wanted to have a look at this as this seemed to show up everywhere. A book that really lets you think about how success is more about having the strength and presence of mind to seize a given opportunity rather than the opportunity itself. It dives into several rabbithole theories with different case studies, which were actually more interesting than I expected :)",,,1,0
23692271,Sapiens: A Brief History of Humankind,Yuval Noah Harari,"Harari, Yuval Noah",,"=""""","=""""",5,4.33,Vintage,Paperback,512,2015,2011,2022/01/01,2022/01/03,favorites,favorites (#3),read,How much more interesting can history get!,,,1,0
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",5,4.42,Crown Publishers,Hardcover,369,2014,2011,2022/02/08,2022/01/18,favorites,favorites (#2),read,"A uniquely realistic piece of drama. I am sure the most appropriate audience for this one would be the science cum tech geeks in an adventurious setup rather than the space nerds.<br/><br/>I almost want to label this as an educational book because of the amount of ‘real things’ you learn about how space travel works: orbial dynamics, EVAs, oxygenerator, rovers, jet propulsion systems and many. Seriously, like, I don't know if there's any other author who takes time to unravel the engineering marvels and equipments at such a fundamental level, afterall for a general audince. <br/><br/>The emotions: they were right at where they have to be, in terms of depth and relatability. This book doesn't try to break the bush, like get too philosophically existential as a means to make a lasting impression, rather it shows real science in a fictitious world (i.e. what science-fiction is of course). I do wish it showed some heavy emotional breakdown of some kind.<br/><br/>The narrative was not very perceivable at very certain situations (mostly in the beginning) which might tend many to re-read. That lack of visual communication is perhaps what many would complain about the book. For example, I did vaguely understand how atmospheric regulators work but didn't get any idea of its shape/body whatsoever.<br/><br/>Who cares though? The story was compelling from beginning to end. The characters were believable and interesting. And... I like the humour.",,,1,0
7711871,Surfaces and Essences: Analogy as the Fuel and Fire of Thinking,Douglas R. Hofstadter,"Hofstadter, Douglas R.",Emmanuel Sander,"=""0465018475""","=""9780465018475""",0,3.84,Basic Books,Hardcover,578,2013,2011,,2023/12/04,to-read,to-read (#5),to-read,,,,0,0
25744928,Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,"Newport, Cal",,"=""1455586692""","=""9781455586691""",4,4.16,Grand Central Publishing,Hardcover,296,2016,2016,2023/08/31,2023/08/04,,,read,,,,1,0
37510662,Foe,Iain Reid,"Reid, Iain",,"=""150112742X""","=""9781501127427""",0,3.69,Gallery/Scout Press,Hardcover,261,2018,2018,,2023/08/16,to-read,to-read (#4),to-read,,,,0,0
27036528,Ego Is the Enemy,Ryan Holiday,"Holiday, Ryan",,"=""1591847818""","=""9781591847816""",4,4.13,Portfolio,Hardcover,226,2016,2016,2023/07/23,2023/07/22,,,read,,,,1,0
52656911,The Guest List,Lucy Foley,"Foley, Lucy",,"=""""","=""""",2,3.79,William Morrow,Kindle Edition,319,2020,2020,,2023/03/16,,,read,,,,1,0
56587388,"How the World Really Works: A Scientist's Guide to Our Past, Present and Future",Vaclav Smil,"Smil, Vaclav",,"=""0241454409""","=""9780241454404""",3,3.95,Viking,Paperback,326,2022,2022,2023/02/17,2022/07/30,,,read,"Too quantitative than I would have liked. The book initially seemed to take-off with interesting insights, but soon enough, probably anyone would sense that the narrative just gets too dry. The factual information, which can almost be found online, dominates the discussion for any good perspectives.",,,1,0
27362503,"It Ends with Us (It Ends with Us, #1)",Colleen Hoover,"Hoover, Colleen",,"=""1668021048""","=""9781668021040""",3,4.08,Atria Books,Kindle Edition,386,2023,2016,2021/07/01,2021/07/09,,,read,"One of the those with a very humane & conventional storylines, gradually gives you new perspectives on things. I kind of picked this at random, maybe the cover & genre together got me in a go. It doesn't take you much long to sense that this is apparently a very personal story for Colleen.<br/><spoiler><br/>As much as I was rooting for almost everybody in this, I so wish that the Ryle's psychological condition was explained a bit more authentically. I guess I couldn't understand on why having a tough childhood justifies his misogony. Besides, one of the primary reasons that's stopping from giving this a solid 4 is it's not consistently engaging, though it picks up during the latter half .<br/></spoiler>",,,1,0
980808,How Cars Work,Tom Newton,"Newton, Tom",,"=""0966862309""","=""9780966862300""",0,4.23,Black Apple Pr,Paperback,96,1999,1999,2022/05/20,2022/05/20,,,read,,,,1,0
41795733,Range: Why Generalists Triumph in a Specialized World,David   Epstein,"Epstein, David",,"=""0735214484""","=""9780735214484""",4,4.13,Riverhead Books,Hardcover,339,2019,2019,2022/05/03,2022/03/15,,,read,,,,1,0
41881472,"The Psychology of Money: Timeless Lessons on Wealth, Greed, and Happiness",Morgan Housel,"Housel, Morgan",,"=""""","=""""",3,4.28,Harriman House,Paperback,242,2020,2020,2021/10/18,2021/10/19,,,read,,,,1,0
60059621,Men Who Built Computers,Dilip M. Salwi,"Salwi, Dilip M.",,"=""8123012403""","=""""",4,4.00,Publications Division (India),Hardcover,120,,,2022/01/17,2022/01/16,,,read,,,,1,0
12337186,Sidney Sheldon's Angel of the Dark,Tilly Bagshawe,"Bagshawe, Tilly",Sidney Sheldon,"=""0062073419""","=""9780062073419""",4,3.82,William Morrow,Hardcover,304,2012,2012,,2020/05/13,mystery-thriller,mystery-thriller (#1),read,,,,1,0
18693655,A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra),Barbara Oakley,"Oakley, Barbara",,"=""039916524X""","=""9780399165245""",3,4.19,The Penguin Group,Paperback,336,2014,2014,2021/06/10,2021/06/13,,,read,,,,1,0
40097951,The Silent Patient,Alex Michaelides,"Michaelides, Alex",,"=""1250301696""","=""9781250301697""",4,4.17,Celadon Books,Hardcover,336,2019,2019,2020/05/20,2020/05/26,,,read,>3.5.,,,1,0
386162,"The Hitchhiker’s Guide to the Galaxy (The Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,"Adams, Douglas",,"=""""","=""""",2,4.22,Del Rey,Paperback,193,2007,1979,2021/10/28,2021/10/28,,,read,"The humour in this might be dead for few, the plot might be dragged for others, nonetheless it is one of its kind I say. When all I was anticipating in here were kind of the ‘shock-factors’ & existential phrases, I was pleasantly surprised by the evident care that Douglas took on basically each and every line: his style is original! What didn’t work out for me is the deep, thoughtful, philosophical connectivity with the situations in plot, except of course for some great picky one-liners.",,,1,0
